Name,Position,Team,StdPts,LowerCI,UpperCI,Ovr,Pos Rank,Cmp,PassAtt,PassYd,PassTD,Ints,RushAtt,RushYd,RushTD,Rec,RecYd,RecTD
A. Thielen,WR,MIN,105.09,84.71,125.47,#96,#32,0,0.18,0,0,0,0.66,3.88,0,55.91,753.36,5.02
T. Williams,WR,LAC,104.87,85.37,124.37,#97,#33,0,0,0,0,0,0,0,0,54.86,723.17,5.51
C. Beasley,WR,DAL,104.25,85.86,122.64,#98,#34,0.02,0.12,0.84,0.02,0,0.41,2.9,0,55.99,736.41,5.17
Z. Ertz,TE,PHI,103.09,82.41,123.77,#99,#3,0.02,0.02,1.06,0,0,0,0,0,70.36,791.57,4.1
D. Walker,TE,TEN,102.72,84.88,120.56,#100,#4,0.02,0.02,0.86,0,0,0.24,0.69,0,54.51,692.27,5.55
B. Powell,RB,NYJ,102.07,82.7,121.44,#101,#31,0,0,0,0,0,108.97,538.45,4.01,29.34,202.39,0.78
J. Reed,TE,WSH,101.59,83.27,119.91,#102,#5,0,0,0,0,0,0,0,0,78.46,827.56,3.46
D. Johnson,RB,ARI,101.38,80.35,122.41,#103,#32,0.12,0.16,0.12,0.12,0,100.8,436.65,3.72,33.72,292.18,1.19
M. Bennett,TE,GB,100.86,83,118.72,#104,#6,0.08,0.08,3.9,0,0,0.16,0.4,0,55.97,666.87,5.67
W. Snead,WR,NO,100.66,78.03,123.29,#105,#35,0.22,0.22,11.43,0.22,0,0,0,0,54.69,696.42,5
M. Bryant,WR,PIT,99.6,77.19,122.01,#106,#36,0,0.06,0,0,0,2.08,6,0,53.82,732,4.39
D. Henry,RB,TEN,99.42,76.84,122,#107,#33,0,0.12,0,0,0.04,109.05,490.24,3.79,26.24,218.22,1.23
E. Decker,WR,TEN,99.28,74.36,124.2,#108,#37,0,0.12,0,0,0,0,0,0,40.51,667.08,5.45
T. Cohen,RB,CHI,98.66,79.11,118.21,#109,#34,0,0.21,0,0,0,76.47,319.73,2.32,54.88,438.3,1.74
S. Watkins,WR,LA,96.34,75.54,117.14,#110,#38,0,0,0,0,0,0.14,-0.56,0,51.24,747.62,3.63
S. Shepard,WR,NYG,96.02,78.69,113.35,#111,#39,0,0.18,0,0,0.1,1.26,6.87,0,56.3,694.84,4.54
J. Crowder,WR,WSH,95.98,79.43,112.53,#112,#40,0.28,0.38,3.92,0.04,0.02,0.84,4.58,0,52.27,683.96,4.61
A. Hurns,WR,JAC,94.84,75.58,114.1,#113,#41,0,0.03,0,0,0,0.03,-0.07,0,57.92,724.64,3.86
M. Jones,WR,DET,94.17,77.37,110.97,#114,#42,0,0,0,0,0,0.27,0.96,0,43.07,714,3.85
K. Rudolph,TE,MIN,93.73,77.24,110.22,#115,#7,0,0,0,0,0,0,0,0,60.57,671.62,4.56
J. Matthews,WR,BUF,93.45,73.33,113.57,#116,#43,0,0,0,0,0,0,0,0,54.67,671.4,4.2
C. Kupp,WR,LA,92.77,72.91,112.63,#117,#44,0,0.04,0,0,0,0.04,-0.18,0,51.33,681.86,4.15
C. Brate,TE,TB,92.13,74.11,110.15,#118,#8,0,0,0,0,0,0,0,0,42.4,580.9,5.71
D. Jackson,WR,TB,91.84,74.34,109.34,#119,#45,0,0.08,0,0,0,0,0,0,43.39,680.83,4
D. Parker,WR,MIA,91.26,73.57,108.95,#120,#46,0,0,0,0,0,0,0,0,55.48,700.02,3.61
M. Sanu,WR,ATL,90.76,74.54,106.98,#121,#47,0,0,0,0,0,0.46,2.5,0,53.11,621.38,4.77
T. Riddick,RB,DET,90.38,76.38,104.38,#122,#35,0.02,0.02,0.15,0.02,0,97.92,391.79,2.69,37.26,298.45,1.08
J. Graham,TE,SEA,89.87,71.39,108.35,#123,#9,0,0,0,0,0,0,0,0,57.81,652.33,4.3
T. Eifert,TE,CIN,89.6,69.16,110.04,#124,#10,0,0,0,0,0,0,0,0,45.87,612.47,4.83
J. Kearse,WR,NYJ,89.39,70.6,108.18,#125,#48,0,0,0,0,0,0,0,0,52.56,696.9,3.41
J. Witten,TE,DAL,88.95,71.93,105.97,#126,#11,0.06,0.06,1.74,0,0,0,0,0,66.76,688.8,3.74
P. Perkins,RB,NYG,88.61,73.64,103.58,#127,#36,0.04,0.16,0.2,0.05,0,131.08,529.42,2.13,27.78,202.01,0.66
T. Lockett,WR,SEA,88.37,69.36,107.38,#128,#49,0,0,0,0,0,2.04,25.6,0.18,51.14,645.65,3.31
C. Thompson,RB,WSH,87.52,71.19,103.85,#129,#37,0,0.02,0,0,0,47.89,265.6,1.83,49.2,384.33,2.09
D. Sproles,RB,PHI,87.4,67.67,107.13,#130,#38,0,0.1,0,0,0,75.66,336.41,2.78,40.87,304.73,1.25
E. Ebron,TE,DET,87.28,70.24,104.32,#131,#12,0,0,0,0,0,0.2,0.46,0.16,61.72,699.15,2.89
A. Gates,TE,LAC,86.69,67.64,105.74,#132,#13,0,0,0,0,0,0,0,0,43.34,547.54,5.45
B. Marshall,WR,NYG,86.14,69.28,103,#133,#50,0,0.14,0,0,0,0,0,0,45.54,618.98,4.09
R. Matthews,WR,TEN,85.77,70.71,100.83,#134,#51,0,0,0,0,0,0,0,0,40.02,593.61,4.44
T. West,RB,BAL,84.93,65.31,104.55,#135,#39,0,0.06,0,0,0,108.16,454.78,2.59,27.76,227.98,0.41
C. Carson,RB,SEA,84.77,70.83,98.71,#136,#40,0.06,0.16,0.21,0.06,0,93.45,395.1,2.38,33.12,243.68,1.31
L. Blount,RB,PHI,84.52,66.51,102.53,#137,#41,0.14,0.14,0.49,0.14,0,118.78,520.08,3.61,18.43,116.04,0.02
W. Fuller,WR,HOU,83.54,62.47,104.61,#138,#52,0,0,0,0,0,1.14,20.54,0,55.86,710.65,1.93
Z. Miller,TE,CHI,83.33,67.87,98.79,#139,#14,0,0,0,0,0,0,0,0,54.3,591.51,4.17
A. Kamara,RB,NO,82.95,61.97,103.93,#140,#42,0,0,0,0,0,94.05,347.06,2.67,30.98,243.55,1.33
T. Ginn Jr.,WR,NO,82.82,65.33,100.31,#141,#53,0.2,0.2,3.04,0,0,3.03,19.25,0.08,45.85,629.28,3.23
R. Higgins,WR,CLE,82.18,63.22,101.14,#142,#54,0,0,0,0,0,0.82,6.78,0,49.71,647.76,2.98
H. Henry,TE,LAC,82.02,64.02,100.02,#143,#15,0,0,0,0,0,0,0,0,41.9,504.3,5.27
M. Wallace,WR,BAL,81.65,65.99,97.31,#144,#55,0,0,0,0,0,1.21,8.41,0,49.18,643.41,2.89
C. Fleener,TE,NO,81.56,66.76,96.36,#145,#16,0,0,0,0,0,0.39,3.48,0.12,41.85,507.97,5
C. Davis,WR,TEN,81.47,62.85,100.09,#146,#56,0,0,0,0,0,0,0,0,50.92,637.8,3.05
G. Bernard,RB,CIN,81.25,65.89,96.61,#147,#43,0.02,0.08,0.41,0,0,92.08,380.46,2.17,29.09,242.5,1.26
J. Doyle,TE,IND,80.33,64,96.66,#148,#17,0.06,0.06,2.14,0.08,0,0,0,0,55.69,591.16,3.68
J. Nelson,WR,ARI,80.01,62.28,97.74,#149,#57,0,0,0,0,0,0.3,-0.21,0,37.59,564.77,3.89
A. Hooper,TE,ATL,79.36,60.94,97.78,#150,#18,0,0,0,0,0,0,0,0,33.76,466.41,5.43
J. McKinnon,RB,MIN,79.01,61.68,96.34,#151,#44,0,0.17,0,0,0,108.37,390.68,2.52,28.87,202.34,0.98
J. Richard,RB,OAK,76.26,59.71,92.81,#152,#45,0.14,0.14,2.85,0,0,68.01,337.9,3.71,22.55,174.56,0.65
J. Rodgers,RB,TB,75.92,58.76,93.08,#153,#46,0,0.06,0,0,0,107.84,468.57,2.64,17.7,119.87,0.36
S. Vereen,RB,NYG,74.18,56.59,91.77,#154,#47,0.14,0.22,5.34,0,0,87.04,349.14,2.01,34.1,255.53,0.5
D. Foreman,RB,HOU,74.12,58.96,89.28,#155,#48,0,0,0,0,0,78.75,338.37,1.57,35.72,285.56,0.74
C. Clay,TE,BUF,73.3,55.06,91.54,#156,#19,0,0,0,0,0,0,0,0,49.01,535.34,3.25
J. Mixon,RB,CIN,73.14,57.77,88.51,#157,#49,0.06,0.18,0.22,0.06,0,65.22,272.27,1.71,33.01,262.22,1.72
A. Peterson,RB,NO,72.99,56.19,89.79,#158,#50,0,0,0,0,0,115.71,419.37,3.78,13.7,74.63,0.4
