Name,Position,Team,StdPts,LowerCI,UpperCI,Ovr,Pos Rank,Cmp,PassAtt,PassYd,PassTD,Ints,RushAtt,RushYd,RushTD,Rec,RecYd,RecTD
C. Sims,RB,TB,50.9,35.69,66.11,#206,#69,0,0,0,0,0,68.24,222.56,1,25.66,188.72,1
A. Humphries,WR,TB,50.52,40.98,60.06,#207,#79,0.03,0.13,1.65,0,0,1.52,10.57,0,33.1,392.54,1.76
R. Woods,WR,LA,48.6,38.15,59.05,#208,#80,0,0,0,0,0,0.26,0.71,0,32.72,394.15,1.54
O. Darkwa,RB,NYG,48.31,32.64,63.98,#209,#70,0,0,0,0,0,66.66,231.59,1.84,21.02,125.85,0.48
M. Brown,RB,LA,46.85,34.12,59.58,#210,#71,0,0,0,0,0,58.64,172.1,1.02,23.7,186.95,0.98
S. Roberts,WR,OAK,46.18,34.89,57.47,#211,#81,0,0,0,0,0,0.03,-0.12,0,22.61,306.04,2.56
D. Thompson,WR,CHI,46.04,34,58.08,#212,#82,0,0,0,0,0,0,0,0,28.07,355.08,1.89
A. Ellington,RB,ARI,45.27,26.8,63.74,#213,#72,0,0.08,0,0,0,35.93,125.12,1.04,27.8,206.35,1.1
A. Seferian-Jenkins,TE,NYJ,44.65,33.35,55.95,#214,#28,0,0,0,0,0,0,0,0,26.27,299.22,2.48
J. Brown,WR,ARI,43.81,29.59,58.03,#215,#83,0,0,0,0,0,0,0,0,20.45,346.51,1.6
E. Dickson,TE,CAR,43.79,29.31,58.27,#216,#29,0,0,0,0,0,0,0,0,22.34,280.48,2.67
J. Brissett,QB,IND,43.01,33.59,52.43,#217,#33,60.59,102.03,690,4.81,2.72,6.9,20.38,0.12,0,0,0
A. Morris,RB,DAL,42.84,30.06,55.62,#218,#73,0,0.2,0,0,0,60.75,251.54,2.18,7.79,48.31,0.18
S. DeValve,TE,CLE,42.05,31.24,52.86,#219,#30,0,0,0,0,0,0,0,0,18.26,254.64,2.76
D. Funchess,WR,CAR,41.52,30.67,52.37,#220,#84,0,0.06,0,0,0,0,0,0,19.98,295.5,1.96
M. Goodwin,WR,SF,41.49,30.12,52.86,#221,#85,0,0,0,0,0,0.01,0.07,0,22.94,291.85,2.05
P. Dorsett,WR,NE,41.18,30.08,52.28,#222,#86,0,0.14,0,0,0,1.23,6.6,0,20.28,292.83,1.94
C. Coleman,WR,CLE,41.14,27.38,54.9,#223,#87,0,0.12,0,0,0,0.62,1.39,0,23.88,303.93,1.87
T. Boyd,WR,CIN,40.71,32.3,49.12,#224,#88,0.04,0.04,1.39,0.06,0,0.85,6.75,0,28.31,312.72,1.55
J. Smith-Schuster,WR,PIT,40.23,31.02,49.44,#225,#89,0,0,0,0,0,0,0,0,23.26,310.17,1.58
V. Green,TE,DEN,40.05,29.67,50.43,#226,#31,0,0,0,0,0,0,0,0,22.43,249.17,2.55
R. Louis,WR,CLE,39.94,27.82,52.06,#227,#90,0,0,0,0,0,0,0,0,30.52,335.2,1.09
R. Griffin,TE,HOU,38.77,28.41,49.13,#228,#32,0,0,0,0,0,0,0,0,33.25,303.68,1.69
M. Williams,WR,LAC,38.62,28.45,48.79,#229,#91,0,0,0,0,0,0,0,0,22.54,279.21,1.75
V. Davis,TE,WSH,38.52,29.47,47.57,#230,#33,0,0,0,0,0,0,0,0,22.68,242.75,2.41
B. Perriman,WR,BAL,37.55,27.12,47.98,#231,#92,0,0.02,0,0,0.01,0.49,0.2,0,21.73,279.31,1.64
G. Swaim,TE,DAL,37.1,27.85,46.35,#232,#34,0,0,0,0,0,0,0,0,17.62,212.73,2.6
J. Hardy,WR,ATL,36.93,26.95,46.91,#233,#93,0,0,0,0,0,0.11,0,0,21.79,280.88,1.51
B. Butler,WR,DAL,36.87,26.25,47.49,#234,#94,0,0,0,0,0,0,0,0,16.24,236.54,2.23
D. Sims,TE,CHI,36.73,28.61,44.85,#235,#35,0,0,0,0,0,0,0,0,22.06,246.76,2.03
R. Turbin,RB,IND,36.07,26.01,46.13,#236,#74,0.18,0.26,2.47,0.18,0,23.54,114.41,1.09,16.69,129.47,0.8
T. Burton,TE,PHI,36.03,26.88,45.18,#237,#36,0,0,0,0,0,0,0,0,22.54,228.51,2.23
D. Woodhead,RB,BAL,35.66,25.17,46.15,#238,#75,0,0,0,0,0,37.49,169.42,1.19,12.21,110.08,0.17
D. Allen,TE,NE,35.49,27.57,43.41,#239,#37,0,0,0,0,0,0,0,0,18.38,208.37,2.41
S. Anderson,TE,HOU,35.33,26.13,44.53,#240,#38,0,0,0,0,0,0,0,0,20.6,234.1,2.04
G. Allison,WR,GB,34.83,25.91,43.75,#241,#95,0,0,0,0,0,0,0,0,15.96,252.24,1.6
B. Watson,TE,BAL,34.8,26.93,42.67,#242,#39,0,0,0,0,0,0,0,0,22.83,274.99,1.25
L. Toilolo,TE,ATL,34.71,26.84,42.58,#243,#40,0,0,0,0,0,0,0,0,18.57,207.86,2.3
J. Ross,WR,CIN,34.62,25.25,43.99,#244,#96,0.13,0.15,2.9,0.14,0,0.64,9.15,0.09,19.95,253.38,1.21
T. Austin,WR,LA,34.03,24.91,43.15,#245,#97,0.03,0.27,0.85,0.03,0,5.54,29.1,0.16,25.22,245.11,0.96
W. Smallwood,RB,PHI,33.97,23.29,44.65,#246,#76,0.04,0.04,0.8,0.04,0,52.9,199.84,0.9,14.68,95.24,0.02
A. Fasano,TE,MIA,33.94,24.4,43.48,#247,#41,0,0,0,0,0,0,0,0,17.1,222.45,1.98
C. Walford,TE,OAK,33.28,25.03,41.53,#248,#42,0,0,0,0,0,0,0,0,24.46,236.36,1.68
R. Rodgers,TE,GB,32.7,24.24,41.16,#249,#43,0,0,0,0,0,0,0,0,20.31,200.02,2.11
K. Cole,WR,JAC,32.58,24.03,41.13,#250,#98,0,0.01,0,0,0,0,0,0,20.31,265.62,0.99
